year,movie,number_W,number_N,number_W+N
1973,normanrockwellsworldanamericandream,1,0,1
1973,marjoe,1,0,1
1973,limelight,1,0,1
1973,butterfliesarefree,1,2,3
1983,justanothermissingkid,1,0,1
1983,volveraempezartobeginagain,1,0,1
1983,victorvictoria,1,6,7
1983,tootsie,1,9,10
1983,tango,1,0,1
1983,sophieschoice,1,4,5
1983,questforfire,1,0,1
1984,boysandgirls,1,0,1
1983,missing,1,3,4
1983,ifyoulovethisplanet,1,0,1
1983,ashockingaccident,1,0,1
1982,violet,1,0,1
1982,mephisto,1,0,1
1982,genocide,1,0,1
1982,crac,1,0,1
1982,closeharmony,1,0,1
1982,anamericanwerewolfinlondon,1,0,1
1984,flamencoat515,1,0,1
1984,flashdance,1,3,4
1984,hemakesmefeellikedancin,1,0,1
1984,returnofthejedi,1,4,5
1985,up,1,0,1
1985,thewomaninred,1,0,1
1985,thetimesofharveymilk,1,0,1
1985,thestonecarvers,1,0,1
1985,theriver,1,4,5
1985,purplerain,1,0,1
1985,indianajonesandthetempleofdoom,1,1,2
1985,dangerousmoves,1,0,1
1985,charade,1,0,1
1984,yentl,1,4,5
1984,theyearoflivingdangerously,1,0,1
1984,sundaeinnewyork,1,0,1
1979,theflightofthegossamercondor,1,0,1
1979,thebuddyhollystory,1,2,3
1979,thankgoditsfriday,1,0,1
1979,teenagefather,1,0,1
1979,superman,1,3,4
1979,specialdelivery,1,0,1
1979,scaredstraight,1,0,1
1979,heavencanwait,1,8,9
1979,getoutyourhandkerchiefs,1,0,1
1979,deathonthenile,1,0,1
1979,daysofheaven,1,3,4
1979,californiasuite,1,2,3
1978,youlightupmylife,1,0,1
1978,whoarethedeboltsandwheredidtheygetnineteenkids,1,0,1
1978,thesandcastle,1,0,1
1978,thegoodbyegirl,1,4,5
1978,madamerosa,1,0,1
1978,illfindaway,1,0,1
1978,gravityismyenemy,1,0,1
1978,alittlenightmusic,1,1,2
1981,thefly,1,0,1
1981,thedollarbottom,1,0,1
1981,moscowdoesnotbelieveintears,1,0,1
1981,karlhesstowardliberty,1,0,1
1981,frommaotomozartisaacsterninchina,1,0,1
1981,coalminersdaughter,1,6,7
1980,alittleromance,1,1,2
1980,paulrobesontributetoanartist,1,0,1
1980,everychild,1,0,1
1980,breakingaway,1,4,5
1980,boardandcare,1,0,1
1980,bestboy,1,0,1
1980,beingthere,1,1,2
1980,alien,1,1,2
1980,thetindrum,1,0,1
1980,theblackstallion,1,2,3
1956,thebridgesattokori,1,1,2
1961,neveronsunday,1,4,5
1961,munro,1,0,1
1961,giuseppina,1,0,1
1961,exodus,1,2,3
1961,dayofthepainter,1,0,1
1961,butterfield8,1,1,2
1961,pollyanna,1,0,1
1961,songwithoutendthestoryoffranzliszt,1,0,1
1961,sonsandlovers,1,6,7
1961,thealamo,1,6,7
1961,thevirginspring,1,1,2
1961,thetimemachine,1,0,1
1961,thehorsewiththeflyingtail,1,0,1
1961,thefactsoflife,1,4,5
1960,thegoldenfish,1,0,1
1960,somelikeithot,1,5,6
1960,serengetishallnotdie,1,0,1
1960,porgyandbess,1,3,4
1960,pillowtalk,1,4,5
1960,moonbird,1,0,1
1960,glass,1,0,1
1960,blackorpheus,1,0,1
1960,aholeinthehead,1,0,1
1963,daysofwineandroses,1,4,5
1963,sweetbirdofyouth,1,2,3
1963,sundaysandcybele,1,0,1
1963,meredithwillsonsthemusicman,1,5,6
1963,heureuxanniversairehappyanniversary,1,0,1
1963,dylanthomas,1,0,1
1963,divorceitalianstyle,1,2,3
1963,blackfox,1,0,1
1962,seawardsthegreatships,1,0,1
1962,twowomen,1,0,1
1962,throughaglassdarkly,1,0,1
1962,thegunsofnavarone,1,6,7
1962,splendorinthegrass,1,1,2
1962,projecthope,1,0,1
1962,lecieletlaboueskyaboveandmudbeneath,1,0,1
1962,ladolcevita,1,3,4
1962,ersatzthesubstitute,1,0,1
1962,aforceinreadiness,1,0,1
1957,giant,1,9,10
1957,writtenonthewind,1,2,3
1957,thetruestoryofthecivilwar,1,0,1
1957,thetencommandments,1,6,7
1957,thesolidgoldcadillac,1,1,2
1957,thesilentworld,1,0,1
1957,theredballoon,1,0,1
1957,themanwhoknewtoomuch,1,0,1
1957,thebraveone,1,2,3
1957,thebespokeovercoat,1,0,1
1957,mistermagoospuddlejumper,1,0,1
1957,lustforlife,1,3,4
1957,lastrada,1,1,2
1957,crashingthewaterbarrier,1,0,1
1957,anastasia,1,1,2
1956,tocatchathief,1,2,3
1956,thefaceoflincoln,1,1,2
1959,whitewilderness,1,1,2
1959,tomthumb,1,0,1
1959,theoldmanandthesea,1,2,3
1959,thebigcountry,1,1,2
1959,southpacific,1,2,3
1959,myuncle,1,0,1
1959,knightyknightbugs,1,0,1
1959,iwanttolive,1,5,6
1959,grandcanyon,1,0,1
1959,amagirls,1,0,1
1958,thethreefacesofeve,1,0,1
1958,thewetbackhound,1,0,1
1958,thenightsofcabiria,1,0,1
1958,thejokeriswild,1,0,1
1958,theenemybelow,1,0,1
1958,lesgirls,1,2,3
1958,designingwoman,1,0,1
1958,birdsanonymous,1,0,1
1958,albertschweitzer,1,0,1
1963,thehole,1,0,1
1963,thewonderfulworldofthebrothersgrimm,1,3,4
1963,whateverhappenedtobabyjane,1,4,5
1968,theandersonplatoon,1,0,1
1968,coolhandluke,1,3,4
1968,closelywatchedtrains,1,0,1
1968,aplacetostand,1,1,2
1968,thebox,1,0,1
1968,thedirtydozen,1,3,4
1968,thegraduate,1,6,7
1968,theredwoods,1,0,1
1968,thoroughlymodernmillie,1,6,7
1967,thewargame,1,0,1
1967,thefortunecookie,1,3,4
1967,herbalpertandthetijuanabrassdoublefeature,1,0,1
1967,ayeartowardtomorrow,1,0,1
1967,afunnythinghappenedonthewaytotheforum,1,0,1
1967,wildwings,1,0,1
1970,cactusflower,1,0,1
1970,arthurrubinsteintheloveoflife,1,0,1
1970,anneofthethousanddays,1,9,10
1970,czechoslovakia1968,1,0,1
1970,itstoughtobeabird,1,0,1
1970,marooned,1,2,3
1970,themagicmachines,1,1,2
1970,truegrit,1,1,2
1970,theyshoothorsesdontthey,1,8,9
1970,theprimeofmissjeanbrodie,1,1,2
1969,bullitt,1,1,2
1969,2001aspaceodyssey,1,3,4
1969,journeyintoself,1,0,1
1969,charly,1,0,1
1969,robertkennedyremembered,1,0,1
1969,rosemarysbaby,1,1,2
1969,winniethepoohandtheblusteryday,1,0,1
1969,whymancreates,1,0,1
1969,warandpeace,1,1,2
1969,thethomascrownaffair,1,1,2
1969,thesubjectwasroses,1,0,1
1969,theproducers,1,1,2
1964,thevips,1,0,1
1964,thecritic,1,0,1
1964,robertfrostaloversquarrelwiththeworld,1,0,1
1964,papasdelicatecondition,1,0,1
1964,liliesofthefield,1,4,5
1964,itsamadmadmadmadworld,1,5,6
1964,irmaladouce,1,2,3
1964,chagall,1,0,1
1964,anoccurrenceatowlcreekbridge,1,0,1
1964,americaamerica,1,3,4
1966,theeleanorrooseveltstory,1,0,1
1966,thedotandtheline,1,0,1
1966,thechickenlepoulet,1,0,1
1966,catballou,1,4,5
1966,athousandclowns,1,3,4
1966,apatchofblue,1,4,5
1966,thegreatrace,1,4,5
1966,thesandpiper,1,0,1
1966,theshoponmainstreet,1,0,1
1966,thunderball,1,0,1
1966,tobealive,1,0,1
1965,casalsconducts1964,1,0,1
1965,thepinkphink,1,0,1
1965,thenightoftheiguana,1,3,4
1965,ninefromlittlerock,1,0,1
1965,jacquesyvescousteausworldwithoutsun,1,0,1
1965,goldfinger,1,0,1
1965,fathergoose,1,2,3
1965,becket,1,11,12
1965,yesterdaytodayandtomorrow,1,0,1
1965,7facesofdrlao,1,1,2
1965,topkapi,1,0,1
2023,womentalking,1,1,2
1986,thecolorpurple,0,11,11
1978,theturningpoint,0,11,11
2003,gangsofnewyork,0,10,10
2014,americanhustle,0,10,10
2020,theirishman,0,10,10
2011,truegrit,0,10,10
1942,thelittlefoxes,0,9,9
2023,thebansheesofinisherin,0,9,9
1958,peytonplace,0,9,9
1967,thesandpebbles,0,8,8
2023,elvis,0,8,8
1952,quovadis,0,8,8
1994,theremainsoftheday,0,8,8
1981,theelephantman,0,8,8
1982,ragtime,0,8,8
1960,thenunsstory,0,8,8
1944,madamecurie,0,7,7
2004,seabiscuit,0,7,7
1965,hushhushsweetcharlotte,0,7,7
1961,pepe,0,7,7
1969,star,0,7,7
1941,theletter,0,7,7
1943,thetalkofthetown,0,7,7
1943,randomharvest,0,7,7
1960,anatomyofamurder,0,7,7
2019,astarisborn,0,7,7
2016,themartian,0,7,7
1999,thethinredline,0,7,7
1945,doubleindemnity,0,7,7
1967,hawaii,0,7,7
2023,thefabelmans,0,7,7
1950,cometothestable,0,7,7
1988,broadcastnews,0,7,7
1995,theshawshankredemption,0,7,7
1992,theprinceoftides,0,7,7
1955,thecainemutiny,0,7,7
1991,thegodfatherpartiii,0,7,7
2000,theinsider,0,7,7
1969,funnygirl,0,7,7
1994,inthenameofthefather,0,7,7
1963,mutinyonthebounty,0,7,7
1988,fatalattraction,0,6,6
1941,ourtown,0,6,6
1964,thecardinal,0,6,6
1941,foreigncorrespondent,0,6,6
1937,mymangodfrey,0,6,6
1940,loveaffair,0,6,6
1983,dasboot,0,6,6
1958,witnessfortheprosecution,0,6,6
1955,astarisborn,0,6,6
2012,warhorse,0,6,6
2012,moneyball,0,6,6
2011,127hours,0,6,6
2010,upintheair,0,6,6
1953,hanschristianandersen,0,6,6
1975,lenny,0,6,6
2014,captainphillips,0,6,6
2014,nebraska,0,6,6
1941,thelongvoyagehome,0,6,6
1942,holdbackthedawn,0,6,6
2017,lion,0,6,6
1959,catonahottinroof,0,6,6
1959,auntiemame,0,6,6
2016,carol,0,6,6
1944,thenorthstar,0,6,6
1957,friendlypersuasion,0,6,6
2006,goodnightandgoodluck,0,6,6
1946,asongtoremember,0,6,6
1988,empireofthesun,0,6,6
2023,tr,0,6,6
1965,theunsinkablemollybrown,0,6,6
1931,theloveparade,0,6,6
2000,thesixthsense,0,6,6
2006,munich,0,5,5
1974,americangraffiti,0,5,5
1940,theprivatelivesofelizabethandessex,0,5,5
1985,2010,0,5,5
1972,maryqueenofscots,0,5,5
2016,starwarstheforceawakens,0,5,5
1983,theverdict,0,5,5
1939,fourdaughters,0,5,5
1976,funnylady,0,5,5
1962,flowerdrumsong,0,5,5
1962,thechildrenshour,0,5,5
1992,hook,0,5,5
2002,inthebedroom,0,5,5
1939,merrilywelive,0,5,5
2004,piratesofthecaribbeanthecurseoftheblackpearl,0,5,5
1982,thefrenchlieutenantswoman,0,5,5
1959,somecamerunning,0,5,5
2007,blooddiamond,0,5,5
1947,itsawonderfullife,0,5,5
1949,iremembermama,0,5,5
1962,fanny,0,5,5
1989,gorillasinthemist,0,5,5
2002,amlie,0,5,5
1997,secretslies,0,5,5
1984,thedresser,0,5,5
1952,davidandbathsheba,0,5,5
2018,ladybird,0,5,5
1973,ladysingstheblues,0,5,5
2000,thetalentedmrripley,0,5,5
1988,hopeandglory,0,5,5
2015,foxcatcher,0,5,5
1984,silkwood,0,5,5
1964,lovewiththeproperstranger,0,5,5
2021,thetrialofthechicago7,0,5,5
2001,chocolat,0,5,5
1948,crossfire,0,5,5
1952,deathofasalesman,0,5,5
1966,thegreateststoryevertold,0,5,5
1966,theagonyandtheecstasy,0,5,5
1979,interiors,0,5,5
2014,thewolfofwallstreet,0,5,5
1967,alfie,0,5,5
2009,doubt,0,5,5
1941,thegreatdictator,0,5,5
1982,atlanticcity,0,5,5
2009,frostnixon,0,5,5
1961,thesundowners,0,5,5
1936,captainblood,0,5,5
1966,othello,0,4,4
2022,nightmarealley,0,4,4
1934,ladyforaday,0,4,4
1970,bobcaroltedalice,0,4,4
2018,starwarsthelastjedi,0,4,4
1955,rearwindow,0,4,4
1947,henryv,0,4,4
1947,thekillers,0,4,4
1997,hamlet,0,4,4
1960,thefivepennies,0,4,4
2013,beastsofthesouthernwild,0,4,4
1942,balloffire,0,4,4
1977,sevenbeauties,0,4,4
1955,executivesuite,0,4,4
1977,taxidriver,0,4,4
2007,notesonascandal,0,4,4
1991,avalon,0,4,4
1991,thegrifters,0,4,4
1979,thewiz,0,4,4
1944,soproudlywehail,0,4,4
1933,arrowsmith,0,4,4
1958,anaffairtoremember,0,4,4
1958,funnyface,0,4,4
1958,paljoey,0,4,4
1972,kotch,0,4,4
1958,raintreecounty,0,4,4
1932,morocco,0,4,4
2015,mrturner,0,4,4
1957,theeddyduchinstory,0,4,4
1957,thebadseed,0,4,4
1996,nixon,0,4,4
1945,kismet,0,4,4
1972,aclockworkorange,0,4,4
1979,sametimenextyear,0,4,4
1945,meetmeinstlouis,0,4,4
1957,babydoll,0,4,4
1956,guysanddolls,0,4,4
2004,thelastsamurai,0,4,4
1998,thewingsofthedove,0,4,4
1943,junglebook,0,4,4
1980,thechinasyndrome,0,4,4
1946,thekeysofthekingdom,0,4,4
1987,startrekivthevoyagehome,0,4,4
1980,therose,0,4,4
1943,arabiannights,0,4,4
1956,blackboardjungle,0,4,4
2013,zerodarkthirty,0,4,4
2004,cityofgod,0,4,4
2017,hellorhighwater,0,4,4
1990,theadventuresofbaronmunchausen,0,4,4
1971,fiveeasypieces,0,4,4
1971,scrooge,0,4,4
1985,thenatural,0,4,4
1967,therussiansarecomingtherussiansarecoming,0,4,4
2014,philomena,0,4,4
1943,wakeisland,0,4,4
2006,prideprejudice,0,4,4
1972,sundaybloodysunday,0,4,4
1946,gijoe,0,4,4
1990,thefabulousbakerboys,0,4,4
1943,themagnificentambersons,0,4,4
1946,loveletters,0,4,4
1961,inheritthewind,0,4,4
1989,diehard,0,4,4
1950,sandsofiwojima,0,4,4
1967,georgygirl,0,4,4
2011,thekidsareallright,0,4,4
1935,theaffairsofcellini,0,4,4
1973,theemigrants,0,4,4
2011,wintersbone,0,4,4
1963,birdmanofalcatraz,0,4,4
1939,algiers,0,4,4
1940,ofmiceandmen,0,4,4
1940,ninotchka,0,4,4
1965,drstrangeloveorhowilearnedtostopworryingandlovethebomb,0,4,4
1939,marieantoinette,0,4,4
1998,amistad,0,4,4
1939,thecitadel,0,4,4
1939,madaboutmusic,0,4,4
1938,deadend,0,4,4
1966,theumbrellasofcherbourg,0,4,4
1984,crosscreek,0,4,4
1962,summerandsmoke,0,4,4
1935,thethinman,0,4,4
2010,district9,0,4,4
1951,theasphaltjungle,0,4,4
1939,ifiwereking,0,4,4
2022,dontlookup,0,4,4
1952,detectivestory,0,4,4
1961,sunriseatcampobello,0,4,4
1995,quizshow,0,4,4
2021,newsoftheworld,0,4,4
1993,afewgoodmen,0,4,4
1941,springparade,0,4,4
2000,thegreenmile,0,4,4
1941,theseahawk,0,4,4
1948,lifewithfather,0,4,4
2003,farfromheaven,0,4,4
1961,psycho,0,4,4
1968,incoldblood,0,4,4
1953,mycousinrachel,0,4,4
2010,nine,0,4,4
1998,kundun,0,4,4
1973,sleuth,0,4,4
1976,themanwhowouldbeking,0,4,4
1936,lesmiserables,0,4,4
1973,sounder,0,4,4
2008,thedivingbellandthebutterfly,0,4,4
1937,romeoandjuliet,0,4,4
1938,stagedoor,0,4,4
1953,suddenfear,0,4,4
1999,armageddon,0,4,4
1951,brokenarrow,0,3,3
2014,thehobbitthedesolationofsmaug,0,3,3
1951,cinderella,0,3,3
1975,theconversation,0,3,3
1951,caged,0,3,3
2023,babylon,0,3,3
1953,ivanhoe,0,3,3
1996,batmanforever,0,3,3
1951,fatherofthebride,0,3,3
1932,thefrontpage,0,3,3
1974,thelastdetail,0,3,3
1974,tomsawyer,0,3,3
1945,lifeboat,0,3,3
1945,ladyinthedark,0,3,3
1979,anunmarriedwoman,0,3,3
2009,revolutionaryroad,0,3,3
2015,intothewoods,0,3,3
1945,hollywoodcanteen,0,3,3
1967,gambit,0,3,3
1975,blazingsaddles,0,3,3
1996,crimsontide,0,3,3
2023,triangleofsadness,0,3,3
1978,thespywholovedme,0,3,3
2006,cinderellaman,0,3,3
1999,thetrumanshow,0,3,3
1994,inthelineoffire,0,3,3
2009,changeling,0,3,3
1994,cliffhanger,0,3,3
1975,dayfornight,0,3,3
2010,aneducation,0,3,3
1945,theadventuresofmarktwain,0,3,3
2010,theprincessandthefrog,0,3,3
1930,alibi,0,3,3
1993,enchantedapril,0,3,3
2012,albertnobbs,0,3,3
1954,thebandwagon,0,3,3
1999,pleasantville,0,3,3
2007,childrenofmen,0,3,3
1955,theresnobusinesslikeshowbusiness,0,3,3
1947,briefencounter,0,3,3
2007,apocalypto,0,3,3
1977,voyageofthedamned,0,3,3
1986,runawaytrain,0,3,3
2023,thebatman,0,3,3
1993,chaplin,0,3,3
1954,themoonisblue,0,3,3
1987,crimesoftheheart,0,3,3
1973,deliverance,0,3,3
2012,thetreeoflife,0,3,3
2012,tinkertailorsoldierspy,0,3,3
2012,transformersdarkofthemoon,0,3,3
1995,red,0,3,3
1977,cousincousine,0,3,3
1955,brigadoon,0,3,3
2007,littlechildren,0,3,3
1966,thecollector,0,3,3
1931,annachristie,0,3,3
2012,harrypotterandthedeathlyhallowspart2,0,3,3
1995,littlewomen,0,3,3
1986,achorusline,0,3,3
1950,jolsonsingsagain,0,3,3
1967,thegospelaccordingtostmatthew,0,3,3
1966,insidedaisyclover,0,3,3
1992,bartonfink,0,3,3
1946,objectiveburma,0,3,3
1993,theplayer,0,3,3
1950,pinky,0,3,3
1992,backdraft,0,3,3
1956,rebelwithoutacause,0,3,3
1956,themanwiththegoldenarm,0,3,3
2008,transformers,0,3,3
1974,cinderellaliberty,0,3,3
1986,agnesofgod,0,3,3
1978,equus,0,3,3
2013,thehobbitanunexpectedjourney,0,3,3
2013,themaster,0,3,3
2008,enchanted,0,3,3
2006,waroftheworlds,0,3,3
1973,youngwinston,0,3,3
1956,baddayatblackrock,0,3,3
1956,daddylonglegs,0,3,3
1946,thesoutherner,0,3,3
1981,privatebenjamin,0,3,3
1963,gypsy,0,3,3
1960,thebigfisherman,0,3,3
1960,suddenlylastsummer,0,3,3
1939,armygirl,0,3,3
2001,thepatriot,0,3,3
1942,sundown,0,3,3
1960,northbynorthwest,0,3,3
1942,sunvalleyserenade,0,3,3
1963,thattouchofmink,0,3,3
2022,licoricepizza,0,3,3
2018,babydriver,0,3,3
1970,sweetcharity,0,3,3
1942,drjekyllandmrhyde,0,3,3
1960,theyoungphiladelphians,0,3,3
2022,flee,0,3,3
1981,thestuntman,0,3,3
1939,angelswithdirtyfaces,0,3,3
1942,thechocolatesoldier,0,3,3
1960,journeytothecenteroftheearth,0,3,3
2017,jackie,0,3,3
2004,inamerica,0,3,3
2004,houseofsandandfog,0,3,3
1943,bambi,0,3,3
2004,girlwithapearlearring,0,3,3
1959,theyounglions,0,3,3
2001,quills,0,3,3
2000,beingjohnmalkovich,0,3,3
2017,hiddenfigures,0,3,3
1990,fieldofdreams,0,3,3
1990,enemiesalovestory,0,3,3
1962,pocketfulofmiracles,0,3,3
1934,iamafugitivefromachaingang,0,3,3
1990,crimesandmisdemeanors,0,3,3
1942,themaltesefalcon,0,3,3
1938,soulsatsea,0,3,3
1960,career,0,3,3
2018,mudbound,0,3,3
1982,penniesfromheaven,0,3,3
1935,imitationoflife,0,3,3
1939,theyounginheart,0,3,3
1985,asoldiersstory,0,3,3
1983,poltergeist,0,3,3
2022,beingthericardos,0,3,3
1982,onlywhenilaugh,0,3,3
1941,allthisandheaventoo,0,3,3
2019,canyoueverforgiveme,0,3,3
1969,rachelrachel,0,3,3
2019,coldwar,0,3,3
1962,elcid,0,3,3
1940,manofconquest,0,3,3
2000,starwarsepisodeithephantommenace,0,3,3
1962,theabsentmindedprofessor,0,3,3
1940,darkvictory,0,3,3
2002,harrypotterandthesorcerersstone,0,3,3
1939,testpilot,0,3,3
1969,faces,0,3,3
1939,carefree,0,3,3
1970,gailygaily,0,3,3
1989,tuckerthemanandhisdream,0,3,3
1982,absenceofmalice,0,3,3
1941,downargentineway,0,3,3
1985,greystokethelegendoftarzanlordoftheapes,0,3,3
2000,magnolia,0,3,3
1941,myfavoritewife,0,3,3
1939,suez,0,3,3
2019,marypoppinsreturns,0,3,3
1943,flyingtigers,0,3,3
1958,12angrymen,0,3,3
1987,peggysuegotmarried,0,3,3
2016,brooklyn,0,3,3
1933,drjekyllandmrhyde,0,3,3
2001,billyelliot,0,3,3
2005,hotelrwanda,0,3,3
1944,heavencanwait,0,3,3
1980,1941,0,3,3
1944,fivegravestocairo,0,3,3
1980,lacageauxfolles,0,3,3
1937,thegeneraldiedatdawn,0,3,3
1964,captainnewmanmd,0,3,3
2016,sicario,0,3,3
1936,davidcopperfield,0,3,3
1958,wildisthewind,0,3,3
1937,threesmartgirls,0,3,3
1943,youwereneverlovelier,0,3,3
1944,sahara,0,3,3
1944,saludosamigos,0,3,3
1988,cryfreedom,0,3,3
1945,casanovabrown,0,3,3
1945,brazil,0,3,3
2005,veradrake,0,3,3
1936,tophat,0,3,3
1984,wargames,0,3,3
2005,thepolarexpress,0,3,3
1957,warandpeace,0,3,3
2005,thephantomoftheopera,0,3,3
2015,unbroken,0,3,3
2005,thepassionofthechrist,0,3,3
1979,theboysfrombrazil,0,3,3
1984,thebigchill,0,3,3
1944,thousandscheer,0,3,3
1967,theprofessionals,0,3,3
1991,awakenings,0,3,3
1980,startrekthemotionpicture,0,3,3
1943,thepiedpiper,0,3,3
1943,kingsrow,0,3,3
1959,acertainsmile,0,3,3
1971,darlinglili,0,3,3
2020,thetwopopes,0,3,3
2022,thetragedyofmacbeth,0,3,3
1971,ineversangformyfather,0,3,3
1984,educatingrita,0,3,3
2022,thelostdaughter,0,3,3
1943,takealetterdarling,0,3,3
1998,boogienights,0,3,3
2020,starwarstheriseofskywalker,0,3,3
2002,aiartificialintelligence,0,2,2
1952,showboat,0,2,2
1998,mrsbrown,0,2,2
1999,outofsight,0,2,2
2008,awayfromher,0,2,2
1969,icestationzebra,0,2,2
2002,ali,0,2,2
1953,carrie,0,2,2
1952,theblueveil,0,2,2
1953,deviltakeus,0,2,2
1967,misterbuddwing,0,2,2
1994,sleeplessinseattle,0,2,2
1999,asimpleplan,0,2,2
1965,aharddaysnight,0,2,2
1964,thissportinglife,0,2,2
1963,twofortheseesaw,0,2,2
1998,anastasia,0,2,2
2001,obrotherwhereartthou,0,2,2
1969,planetoftheapes,0,2,2
2000,sweetandlowdown,0,2,2
2008,intothewild,0,2,2
1995,clearandpresentdanger,0,2,2
1967,blowup,0,2,2
1952,talesofhoffmann,0,2,2
1953,fivefingers,0,2,2
1966,thespywhocameinfromthecold,0,2,2
1999,hilaryandjackie,0,2,2
1962,theparenttrap,0,2,2
1952,thefrogmen,0,2,2
2001,youcancountonme,0,2,2
2000,theendoftheaffair,0,2,2
1953,themerrywidow,0,2,2
1963,bonvoyage,0,2,2
2008,theassassinationofjessejamesbythecowardrobertford,0,2,2
1964,55daysatpeking,0,2,2
1963,davidandlisa,0,2,2
1964,byebyebirdie,0,2,2
2001,thecontender,0,2,2
1953,thebigsky,0,2,2
1994,whatslovegottodowithit,0,2,2
1998,conair,0,2,2
1967,isparisburning,0,2,2
2001,theperfectstorm,0,2,2
1964,anewkindoflove,0,2,2
1963,freud,0,2,2
1953,singinintherain,0,2,2
2009,ironman,0,2,2
2008,thesavages,0,2,2
1967,julietofthespirits,0,2,2
1953,navajo,0,2,2
1974,jonathanlivingstonseagull,0,2,2
1999,acivilaction,0,2,2
1963,themanchuriancandidate,0,2,2
1974,serpico,0,2,2
2001,shadowofthevampire,0,2,2
1964,sundaysandcybele,0,2,2
1974,lasttangoinparis,0,2,2
1974,summerwisheswinterdreams,0,2,2
1968,thetamingoftheshrew,0,2,2
2008,piratesofthecaribbeanatworldsend,0,2,2
2001,castaway,0,2,2
1952,thewell,0,2,2
1999,centralstation,0,2,2
1969,finiansrainbow,0,2,2
1994,thefirm,0,2,2
1953,thesnowsofkilimanjaro,0,2,2
1998,airforceone,0,2,2
2009,frozenriver,0,2,2
1974,thedayofthedolphin,0,2,2
1957,thedarkwave,0,2,2
1969,thebattleofalgiers,0,2,2
1952,ontheriviera,0,2,2
1959,teacherspet,0,2,2
1966,kingrat,0,2,2
1959,journeyintospring,0,2,2
1965,whatawaytogo,0,2,2
1959,houseboat,0,2,2
2004,thetripletsofbelleville,0,2,2
1959,bellbookandcandle,0,2,2
1956,queenbee,0,2,2
1999,themaskofzorro,0,2,2
1956,summertime,0,2,2
1996,12monkeys,0,2,2
1956,itsalwaysfairweather,0,2,2
1972,theandromedastrain,0,2,2
2000,annaandtheking,0,2,2
1966,morituri,0,2,2
1998,thesweethereafter,0,2,2
1959,vertigo,0,2,2
2006,transamerica,0,2,2
1956,thebattleofgettysburg,0,2,2
1972,tchaikovsky,0,2,2
1967,theoscar,0,2,2
2005,thechorusleschoristes,0,2,2
2006,ahistoryofviolence,0,2,2
1957,highsociety,0,2,2
1957,julie,0,2,2
1957,therainmaker,0,2,2
1996,richardiii,0,2,2
1957,theproudandprofane,0,2,2
1957,themagnificentseven,0,2,2
1957,teenagerebel,0,2,2
1957,theboldandthebrave,0,2,2
1996,sabrina,0,2,2
2005,shrek2,0,2,2
1996,alittleprincess,0,2,2
1972,sometimesagreatnotion,0,2,2
2006,northcountry,0,2,2
2006,mrshendersonpresents,0,2,2
2005,averylongengagement,0,2,2
2005,closer,0,2,2
2005,collateral,0,2,2
1998,wagthedog,0,2,2
1958,heavenknowsmrallison,0,2,2
1958,gunfightattheokcorral,0,2,2
2005,harrypotterandtheprisonerofazkaban,0,2,2
1971,thegreatwhitehope,0,2,2
2004,21grams,0,2,2
1955,thesilverchalice,0,2,2
1960,imitationoflife,0,2,2
1969,theshoesofthefisherman,0,2,2
1997,themirrorhastwofaces,0,2,2
1954,thepresidentslady,0,2,2
1973,petentillie,0,2,2
1997,thecrucible,0,2,2
2007,united93,0,2,2
1995,nobodysfool,0,2,2
2007,theprestige,0,2,2
1954,youngbess,0,2,2
2003,aboutschmidt,0,2,2
2003,catchmeifyoucan,0,2,2
1962,babesintoyland,0,2,2
1997,thepeoplevslarryflynt,0,2,2
2000,musicoftheheart,0,2,2
1954,knightsoftheroundtable,0,2,2
2002,memento,0,2,2
2008,americangangster,0,2,2
1966,theslenderthread,0,2,2
1954,martinluther,0,2,2
1997,twister,0,2,2
1995,fourweddingsandafuneral,0,2,2
1954,mogambo,0,2,2
2008,310toyuma,0,2,2
1973,theheartbreakkid,0,2,2
1967,morgan,0,2,2
1969,theheartisalonelyhunter,0,2,2
1997,theportraitofalady,0,2,2
1969,theoddcouple,0,2,2
1995,interviewwiththevampire,0,2,2
1999,primarycolors,0,2,2
2007,thedevilwearsprada,0,2,2
1965,robinandthe7hoods,0,2,2
1965,sevendaysinmay,0,2,2
1960,thelastangryman,0,2,2
1970,thehappyending,0,2,2
1960,thebestofeverything,0,2,2
1970,thereivers,0,2,2
1995,tomviv,0,2,2
1965,theamericanizationofemily,0,2,2
1970,thesecretofsantavittoria,0,2,2
1960,onthebeach,0,2,2
1955,susanslepthere,0,2,2
2007,cars,0,2,2
1970,thesterilecuckoo,0,2,2
1970,thewildbunch,0,2,2
1997,ghostsofmississippi,0,2,2
2007,flagsofourfathers,0,2,2
1955,jetcarrier,0,2,2
2003,spiderman,0,2,2
1997,michaelcollins,0,2,2
1970,easyrider,0,2,2
1961,cimarron,0,2,2
1961,cancan,0,2,2
1970,goodbyemrchips,0,2,2
1966,theflightofthephoenix,0,2,2
1955,carmenjones,0,2,2
1955,desiree,0,2,2
1955,genevieve,0,2,2
1964,twilightofhonor,0,2,2
2012,bridesmaids,0,2,2
1952,laronde,0,2,2
1981,thegreatsantini,0,2,2
1990,camilleclaudel,0,2,2
1990,blackrain,0,2,2
1981,kagemushatheshadowwarrior,0,2,2
1942,louisianapurchase,0,2,2
