id,title_en,film_title_cleaned,year,film_age,rank,rating,num_votes,num_votes_rank,director,actor1,actor2,collaboration1,collaboration2
tt0086879,Amadeus,amadeus,1984,39,72,8.3,409002,148,Milos Forman, F. Murray Abraham,Tom Hulce,Milos Forman -  F. Murray Abraham - 1,Milos Forman - Tom Hulce - 1
tt2380307,Coco,coco,2017,6,73,8.3,531536,124,Lee Unkrich, Anthony Gonzalez,Gael García Bernal,Lee Unkrich -  Anthony Gonzalez - 1,Lee Unkrich - Gael García Bernal - 1
tt0114709,Toy Story,toystory,1995,28,74,8.3,1015490,57,John Lasseter, Tom Hanks,Tim Allen,John Lasseter -  Tom Hanks - 1,John Lasseter - Tim Allen - 1
tt0112573,Braveheart,braveheart,1995,28,75,8.3,1053960,50,Mel Gibson, Mel Gibson,Sophie Marceau,Mel Gibson -  Mel Gibson - 1,Mel Gibson - Sophie Marceau - 1
tt7286456,Joker,joker,2019,4,76,8.3,1348016,27,Todd Phillips, Joaquin Phoenix,Robert De Niro,Todd Phillips -  Joaquin Phoenix - 1,Todd Phillips - Robert De Niro - 1
tt0082096,Das Boot,dasboot,1981,42,77,8.3,255237,176,Wolfgang Petersen, Jürgen Prochnow,Herbert Grönemeyer,Wolfgang Petersen -  Jürgen Prochnow - 1,Wolfgang Petersen - Herbert Grönemeyer - 1
tt4154796,Avengers: Endgame,avengersendgame,2019,4,78,8.3,1174566,35,Anthony Russo, Robert Downey Jr.,Chris Evans,Anthony Russo -  Robert Downey Jr. - 2,Anthony Russo - Chris Evans - 1
tt0119698,Princess Mononoke,princessmononoke,1997,26,79,8.3,405593,150,Hayao Miyazaki, Yôji Matsuda,Yuriko Ishida,Hayao Miyazaki -  Yôji Matsuda - 1,Hayao Miyazaki - Yuriko Ishida - 1
tt0119217,Good Will Hunting,goodwillhunting,1997,26,80,8.3,1000650,61,Gus Van Sant, Robin Williams,Matt Damon,Gus Van Sant -  Robin Williams - 1,Gus Van Sant - Matt Damon - 1
tt0087843,Once Upon a Time in America,onceuponatimeinamerica,1984,39,81,8.3,359442,155,Sergio Leone, Robert De Niro,James Woods,Sergio Leone -  Robert De Niro - 1,Sergio Leone - James Woods - 1
tt5311514,Your Name.,yourname,2016,7,82,8.3,284882,169,Makoto Shinkai, Ryunosuke Kamiki,Mone Kamishiraishi,Makoto Shinkai -  Ryunosuke Kamiki - 1,Makoto Shinkai - Mone Kamishiraishi - 1
tt0045152,Singin' in the Rain,singinintherain,1952,71,83,8.3,248398,179,Stanley Donen, Gene Kelly,Donald O'Connor,Stanley Donen -  Gene Kelly - 1,Stanley Donen - Donald O'Connor - 1
tt1187043,3 Idiots,3idiots,2009,14,84,8.3,409952,146,Rajkumar Hirani, Aamir Khan,Madhavan,Rajkumar Hirani -  Aamir Khan - 1,Rajkumar Hirani - Madhavan - 1
tt0180093,Requiem for a Dream,requiemforadream,2000,23,85,8.3,859907,75,Darren Aronofsky, Ellen Burstyn,Jared Leto,Darren Aronofsky -  Ellen Burstyn - 1,Darren Aronofsky - Jared Leto - 1
